"word","wordcount","latitude","longitude","country_code"
"Madison","5","38.68255000","-90.15705000","US"
"Uppsala","5","59.85882000","17.63889000","SE"
"Lehre","5","52.33333000","10.66667000","DE"
"Madison","5","44.79756000","-69.87978000","US"
"Salzburg","5","47.79941000","13.04399000","AT"
"Madison","5","40.75982000","-74.41710000","US"
"Madison","5","30.46938000","-83.41293000","US"
"Madison","5","32.46181000","-90.11536000","US"
"Linz","5","48.30639000","14.28611000","AT"
"Madison","5","38.73589000","-85.37996000","US"
"Glasgow","5","37.63402000","-79.45031000","US"
"Dublin","5","40.37177000","-75.20156000","US"
"Madison","5","43.89924000","-71.14840000","US"
"Küssnacht","5","47.08557000","8.44206000","CH"
"Groningen","5","5.80000000","-55.46667000","SR"
"Edinburgh","5","39.35422000","-85.96666000","US"
"Madison","5","33.59568000","-83.46794000","US"
"Dublin","5","37.70215000","-121.93579000","US"
"Glasgow","5","55.86515000","-4.25763000","GB"
"Bologna","5","44.46667000","11.43333000","IT"
"Landshut","4","48.52961000","12.16179000","DE"
"Miami","4","-28.07173000","153.44158000","AU"
"Franeker","4","53.18546000","5.54123000","NL"
"Miami","4","25.77427000","-80.19366000","US"
"Nürnberg","4","49.45421000","11.07752000","DE"
"Miami","4","36.87451000","-94.87746000","US"
"Stanford","4","37.42411000","-122.16608000","US"
"Parma","4","44.79935000","10.32618000","IT"
"Yale","4","36.11423000","-96.69919000","US"
"Saumur","4","47.25908000","-0.07796000","FR"
"Münchenbuchsee","4","47.02175000","7.45036000","CH"
"Miami","4","33.39922000","-110.86872000","US"
"Rice","4","45.75191000","-94.22027000","US"
"Parma","4","66.00000000","57.70000000","RU"
"Mühlhausen","4","51.20896000","10.45275000","DE"
"Stans","4","46.95805000","8.36609000","CH"
"Yale","4","43.13003000","-82.79826000","US"
"Kecskemét","4","46.90618000","19.69128000","HU"
"Belp","4","46.89129000","7.49825000","CH"
"Düsseldorf","4","51.22172000","6.77616000","DE"
"Karlsruhe","4","49.00937000","8.40444000","DE"
"Ljubljana","4","46.05108000","14.50513000","SI"
"Hugo","4","34.01066000","-95.50968000","US"
"Mühlhausen","4","49.75443000","10.77563000","DE"
"Sachsen","4","49.28999000","10.65971000","DE"
"Hugo","4","45.15997000","-92.99327000","US"
"Miami","4","35.69143000","-100.63819000","US"
"Hugo","4","39.13610000","-103.46994000","US"
"Pisa","4","43.70853000","10.40360000","IT"
"Stans","4","47.36667000","11.71667000","AT"
"Stanford","4","37.53119000","-84.66189000","US"
"Parma","4","41.40477000","-81.72291000","US"
"Stanford","4","47.15358000","-110.21826000","US"
"Locarno","4","46.17086000","8.79953000","CH"
"Parma","4","43.78516000","-116.94321000","US"
"Mühlhausen","4","49.24861000","8.72667000","DE"
"Fribourg","3","46.80237000","7.15128000","CH"
"Bethel","3","38.96368000","-84.08077000","US"
"Frutigen","3","46.58723000","7.64945000","CH"
"Adelaide","3","-32.70747000","26.29564000","ZA"
"Seattle","3","47.60621000","-122.33207000","US"
"Hopkins","3","44.92496000","-93.46273000","US"
"Kabul","3","34.52813000","69.17233000","AF"
"Haven","3","37.89890000","-97.78283000","US"
"Spiez","3","46.68473000","7.69111000","CH"
"Sedan","3","49.70187000","4.94028000","FR"
"Mayer","3","34.39781000","-112.23627000","US"
"Bethel","3","47.49398000","-122.63125000","US"
"Bielefeld","3","52.03333000","8.53333000","DE"
"Wiesbaden","3","50.08258000","8.24932000","DE"
"Homburg","3","47.63469000","9.00756000","CH"
"Bethel","3","41.37121000","-73.41401000","US"
