"prosopid","verwandt","verwandtid"
"4.2.22",Sohn von oP Friedrich Lüscher ( 4. 1. 61 ),"4.1.61"
"4.1.61",Vater von aoP E. Lüscher ( 4. 2. 22 ),"4.2.22"
"3.2.29",Bruder von oP Hermann Matti ( 4. 1. 70 ),"4.1.70"
"4.1.70",Bruder von aoP Hans Matti ( 3. 2. 29 ),"3.2.29"
"3.2.64",Bruder von oP Christian Heinrich Maurer ( 1. 1. 39 ),"1.1.39"
"1.1.39",Bruder von aoP Alfred Walter Maurer ( 3. 2. 64 ),"3.2.64"
"5.3.1",Bruder von PD Walter Morgenthaler ( 4. 4. 89 ),"4.4.89"
"4.4.89",Bruder von HonP Otto Morgenthaler ( 5. 3. 1 ),"5.3.1"
"4.1.149",Sohn von oP Max Müller ( 4. 1. 88 ),"4.1.88"
"4.1.88",Vater von oP Christian Müller ( 4. 1. 149 ),"4.1.149"
"1.1.18",Vater von PD Otfried Nippold ( 3. 4. 22 ),"3.4.22"
"3.4.22",Sohn von oP Friedrich Nippold ( 1. 1. 18 ),"1.1.18"
"4.2.15",Schwiegersohn von aoP August Friedrich Flückiger ( 7. 2. 9 ),"7.2.9"
"7.4.93",Sohn von PD Hans Ryffel ( 6. 4. 72 ),"6.4.72"
"6.4.72",Vater von PD Gerhart U. Ryffel ( 7. 4. 94 ),"7.4.94"
"6.1.19",Sohn von aoP August ( e ) Schaffter ( 1. 2. 1 ),"1.2.1"
"1.2.1",Vater von oP Albert Schaffter ( 6. 1. 19 ),"6.1.19"
"7.4.6",Bruder von aoP M. Schiff ( 4. 2. 8 ),"4.2.8"
"4.2.8",Bruder von PD H. Schiff ( 7. 4. 6 ),"7.4.6"
"4.1.138",Sohn von aoP Jakob Schindler ( 4. 2. 32 ),"4.2.32"
"4.2.32",Vater von oP Richard Schindler ( 4. 1. 138 ),"4.1.138"
"6.2.4",Sohn von oP Samuel Ludwig Schnell ( 3. 1. 2 ),"3.1.2"
"3.1.2",Vater von aoP Albrecht Eduard Schnell ( 6. 2. 4 ),"6.2.4"
"4.4.56",Gatte von PD Wilhelmine Schwenter-Trachsler ( 4. 4. 60 ),"4.4.60"
"4.4.60",Gattin von PD Jakob Schwenter ( 4. 4. 56 ),"4.4.56"
"3.2.3",Bruder von oP W. Snell ( 3. 1. 6 ),"3.1.6"
"3.1.6",Bruder von aoP Ludwig Snell ( 3. 2. 3 ),"3.2.3"
"1.1.35",Bruder von oP Rudolf Georg Stamm ( 6. 1. 81 ),"6.1.81"
"6.1.81",Bruder von oP Johann Jakob Stamm ( 1. 1. 35 ),"1.1.35"
"5.1.38",Sohn von oP Fritz Werner Steck ( 5. 1. 23 ),"5.1.23"
"5.1.23",Vater von oP Franz Thomas Steck ( 5. 1. 38 ),"5.1.38"
"6.1.65",Sohn von oP Ludwig Stein ( 6. 1. 31 ),"6.1.31"
"6.1.65",Bruder von aoP Wilhelm Stein ( 6. 2. 26 ),"6.2.26"
"6.1.31",Vater von aoP Wilhelm Stein ( 6. 2. 26 ),"6.2.26"
"6.1.31",oP Arthur Stein ( 6. 1. 65 ),"6.1.65"
"6.2.26",Sohn von oP Ludwig Stein ( 6. 1. 31 ),"6.1.31"
"6.2.26",Bruder von oP Arthur Stein ( 6. 1. 65 ),"6.1.65"
"4.2.40",Sohn von aoP Fritz Steinmann ( 4. 2. 18 ) Vater von PD Matthias Steinmann ( 3. 4. 47 ),"4.2.18"
"4.2.18",Vater von aoP Bernhard Friedrich Steinmann ( 4. 2. 40 ),"4.2.40"
"3.4.47",Sohn von aoP Bernhard Friedrich Steinmann ( 4. 2. 40 ),"4.2.40"
"3.1.36",Bruder von oP Max Stooss ( 4. 1. 59 ),"4.1.59"
"4.1.59",Bruder von oP Carl Stooss ( 3. 1. 36 ),"3.1.36"
"6.2.42",Sohn von HonP Hans Strahm ( 6. 3. 12 ),"6.3.12"
"6.3.12",Vater von aoP Christian Niklaus Ernst Strahm ( 6. 2. 43 ),"6.2.43"
"1.4.10",Neffe von oP H. Strasser ( 4. 1. 42 ),"4.1.42"
"7.1.8",Bruder von oP Gottlieb Studer ( 1. 1. 15 ),"1.1.15"
"1.1.15",Bruder von oP Bernhard Studer ( 7. 1. 8 ),"7.1.8"
"0.0.93",Vater von oP Bernhard Studer ( 7. 1. 8 ),"7.1.8"
"0.0.93",oP Gottlieb Studer ( 7. 1. 15 ),"7.1.15"
"7.1.17",Sohn von oP Gottlieb Studer ( 1. 1. 15 ),"1.1.15"
"6.4.46",Bruder von oP Philipp Thormann ( 3. 1. 43 ),"3.1.43"
"3.1.43",Bruder von PD Franz Thormann ( 6. 4. 46 ),"6.4.46"
"6.4.23",Bruder von aoP Ludwig Tobler ( 6. 2. 10 ),"6.2.10"
"6.2.10",Bruder von PD Adolf Tobler ( 6. 4. 23 ),"6.4.23"
"4.2.26",Schwiegersohn von aoP Otto Oesterle ( 4. 2. 15 ),"4.2.15"
"0.0.95",Bruder von Professor Philipp Albert Stapfer ( Nr. 91 ),"0.0.91"
"7.1.8",Sohn von oP Samuel Studer ( 1. 1. 2 A ),"1.1.2A"
"7.1.8",Schwiegersohn von oP Samuel Gottlieb Hünerwa-del ( 1. 1. 5 A ),"1.1.5A"
"1.1.15",Sohn von oP Samuel Studer ( 1. 1. 2 A ),"1.1.2A"
"0.0.11",Schwiegervater von Professor Valentin Rebmann ( Nr. 14 ),"0.0.14"
"0.0.14",Schwiegersohn von Professor Wolfgang Müslin ( Nr. 11 ),"0.0.11"
"0.0.90",Schwiegersohn von Professor Daniel Ludwig Studer ( Nr. 85 ),"0.0.85"
"0.0.62",Sohn von Professor Johann Rudolph Rudolf ( Nr. 48 ),"0.0.48"
"0.0.62",Vater von Professor Samuel Ludwig Rudolf ( Nr. 82 ),"0.0.82"
